protein	count
Q8IVM0	3
P37108	3
O15042	7
Q68EM7	5
Q9BZF9	3
P25789	8
Q9UMY4	6
Q9NVX2	13
Q99613	2
Q92616	2
O14965	4
Q9Y6X4	4
P54652	9
Q9BT23	8
Q8NFH3	2
Q14160	1
P08708	7
Q8WU90	4
Q8NEP7	2
Q13243	7
Q96EM0	2
P56545	24
Q5VYK3	3
P34896	5
P08107	84
P49459	4
O43913	3
P21399	11
P61978	65
P31948	24
Q7L1Q6	7
P09104	5
O75937	7
P52888	13
Q9UBT7	1
Q9H7D0	1
P60953	9
Q8IWB7	1
Q13310	1
Q9BWJ5	8
Q8IWS0	4
Q8IZ73	1
Q15717	34
P30044	5
P19623	3
Q92530	12
O94979	3
Q9BXS5	2
P27695	5
O60763	4
O15530	2
P17612	2
P48729	2
Q5VTR2	11
O00625	2
Q12874	9
A5YKK6	1
Q99543	2
P13639	17
P12814	9
Q01082	5
Q3MHD2	1
NM_178190_1	1
P40855	3
P49914	3
O60739	1
P46821	26
Q9Y5K6	13
Q2TAL8	2
P18583	2
Q8N7H5	4
P55735	1
Q16775	6
Q5T749	1
Q5MNZ6	5
Q7Z460	2
P35998	3
Q96C19	4
Q8N4P3	1
P61604	2
Q9NQ48	3
Q9GZS1	2
Q9HBM1	1
Q567U6	2
O95678	1
P61081	12
Q13614	4
P61011	8
P05387	11
P06493	32
P26885	5
Q9H1E3	10
Q29RF7	9
Q13177	2
P54577	3
Q14669	6
O14818	7
P35268	2
P84101	2
O95400	3
Q9Y6K5	1
P04075	17
Q3KQV9	2
Q9Y3B8	6
Q12906	7
Q9ULU4	1
O43175	24
Q15036	3
P61077	6
P62136	20
Q15075	3
P53350	1
P36873	16
Q8N1G2	8
Q9BQ67	1
O00399	1
Q9NR56	3
Q02241	1
KRHB1_HUMAN	1
P14735	1
Q9P270	4
Q6UVJ0	1
Q6FIF0	1
O14519	4
Q16576	35
Q9UNS2	5
K1HA_HUMAN	1
P15311	31
Q13363	17
P15121	5
Q9UQE7	10
Q8WUR7	1
Q13308	3
Q96GK7	1
P49419	5
P07108	6
P52815	2
P14314	4
Q9UII2	5
Q9Y6E2	9
Q13748	27
P22415	2
O75643	17
Q9Y5A9	1
P62258	38
P58546	4
Q9UER7	2
P10589	1
Q96HC4	23
P62328	3
Q13885	6
P55011	1
P51610	16
P41214	1
Q9UFC0	15
P20290	4
Q96KG9	1
P13645	7
Q9NW82	1
P31943	70
P55199	1
Q9BTT6	1
O14964	5
O60264	4
Q15555	5
Q12830	3
Q86VP6	16
Q15291	6
Q9UH65	3
Q8N684	10
Q12929	2
Q92564	1
Q8WVV9	4
Q9Y6X9	4
P09972	5
P43243	36
Q9GZT4	1
P40926	4
Q00341	7
Q66PJ3	1
Q16777	2
Q9UBB5	4
Q9NVS9	1
O75351	8
Q7L7X3	2
Q9NPI1	3
P09497	4
P50454	7
Q9H981	1
Q06265	2
P04632	1
Q8IUD2	3
P63104	26
P62857	9
Q15428	7
Q9Y6I3	1
Q14147	2
Q9Y333	1
Q12800	1
O00716	1
NM_032983_2	1
O14562	2
Q9UJX6	1
O75886	1
P21333	56
Q9HCG8	4
Q9NUQ9	2
P63279	3
P04264	27
P06730	1
Q13535	1
P36405	4
Q9UDT6	1
Q9Y696	3
O43324	5
P51991	42
P08134	3
P47756	10
Q9UHR4	3
Q9BQ04	1
Q86U86	4
Q9BR76	7
O60645	4
O60888	10
O43813	10
Q99439	23
P20073	4
Q15691	10
O77932	1
Q9UHD1	3
P36871	5
O95067	1
Q8NC51	9
O75116	5
Q9BXW9	3
Q9BQ39	1
Q9BY42	6
P0CG47	41
Q68CP9	3
Q96ME1	2
Q96KM6	3
P53999	11
O76021	1
P49368	19
P14859	2
O43290	3
O96017	1
O95983	6
Q99816	1
Q92783	3
Q53GG5	4
O60701	3
P33316	14
Q01518	8
Q9Y316	3
Q9Y657	2
P21108	4
Q9NU22	6
Q96H20	1
P25786	3
Q8NEF9	1
Q5VVQ6	1
P62851	5
Q9UHR5	4
Q96C86	2
Q08623	1
P23396	6
P62841	4
P42695	2
P28072	3
Q8NDT2	1
P62847	12
Q01658	1
Q92541	6
P12081	3
P17655	2
P21281	5
P61254	1
Q9UJX5	3
Q96HR8	2
Q6UN15	2
O00303	12
Q4LE39	3
O60504	2
Q96PE3	1
P18887	16
Q9NQ29	6
O94811	1
P63241	12
P12955	14
O95487	3
Q9Y247	1
O75534	8
O00139	4
O15264	1
Q6P2Q9	8
Q92900	6
P78417	7
P49721	1
Q9UL46	2
P51668	1
Q9BX46	1
P55210	2
P04818	7
Q9H444	3
P55212	1
P53992	3
O15143	5
Q9BT78	4
Q6ZMI0	1
Q9BW71	1
Q00169	6
Q8IYB5	15
P84022	3
Q9ULK4	4
Q13618	5
Q10570	2
P56182	1
Q8WXI9	7
P49591	3
P36639	10
Q86XP3	18
P27694	8
Q92888	1
O75821	10
P50570	24
Q9UBI1	2
Q9BRX2	3
P17844	17
Q9H4A6	2
P55145	2
O14686	1
Q13485	2
Q13464	3
Q8WWH5	2
Q9H0B6	1
P28340	2
P25325	3
Q9Y371	1
P06753	32
Q9Y3E7	1
P07195	29
Q96FZ2	2
P39687	4
Q93009	3
P62861	2
Q9UJX4	2
Q9NYB0	2
O75223	6
P17980	2
Q6GMV3	2
P20585	5
Q9H3K6	8
Q14011	8
Q9HD42	3
Q6PGP7	2
P46063	11
P15927	4
Q9BTD8	2
Q8TAT6	6
Q5VZF2	1
Q05519	11
P04406	31
Q8WW12	13
Q96T60	6
P61764	2
P00492	23
Q02539	1
O94855	1
Q9BTA9	4
P61964	10
Q13151	18
Q92733	3
Q9UBU9	1
Q9Y3C4	1
Q9BRP8	2
Q9HCK8	5
Q7Z2E3	1
P26038	12
P05787	4
Q5VW32	2
Q15084	6
P02533	6
P40763	2
Q9UKK9	6
Q8TAQ2	12
Q13395	1
Q86YZ3	8
P55769	2
Q9BRF8	9
P62333	5
O00203	9
P31153	19
Q96SI1	1
Q9Y314	6
Q8TDX7	1
O75475	14
Q01844	7
Q4J6C6	1
O75391	1
P52907	10
Q96F07	2
Q9BUJ2	1
Q5UIP0	9
Q9BUH6	9
P30086	7
P50579	3
Q06323	2
Q8TDB6	1
P09132	9
P04637	2
Q9C0I1	1
Q9NQC3	1
P00441	5
P34931	25
Q8WVB6	1
Q9UDY2	4
Q9H0L4	3
P55010	4
Q9Y4X5	1
Q9Y547	1
Q969T9	1
P46013	20
P10586	1
Q9P265	2
Q8NI36	1
O00762	4
P68400	8
P24941	19
Q96NC0	1
Q92688	12
O94906	7
Q15424	10
P61163	5
P36543	5
P33552	13
Q9Y2X3	1
Q9UJU6	5
Q14696	3
Q13685	2
P49441	2
Q9GZT9	1
O95861	6
Q96T58	8
P35659	5
P07900	18
Q5D862	1
P13798	2
