protein	count
O43324	2
O75436	2
P32780	3
Q14011	1
P30050	1
P31946	11
Q05932	1
Q9BZI7	1
Q96T88	4
Q14C86	1
Q68CQ4	8
Q9Y5S2	1
Q7Z4V5	7
Q86W42	4
Q99426	1
Q02880	6
Q8IZL8	2
B2MG_HUMAN	2
Q9UHB9	1
Q9Y262	9
Q9BXJ9	3
Q14320	2
P49902	2
Q9UBT7	2
P14174	3
Q12789	3
Q15717	15
Q9BY44	3
P30622	2
P29218	2
Q9ULG1	2
Q14997	3
Q9Y263	14
P62701	3
Q13136	1
Q7Z2T5	1
P62826	37
Q9H7B4	1
Q96RN5	2
Q9BT73	2
P50552	3
Q8IXH7	5
Q14181	2
Q13111	1
B2RXH8	4
Q9Y3B8	1
Q8IUD2	1
P42695	7
Q13509	1
Q13112	1
P39023	1
Q00169	2
Q9Y5B9	11
B5ME19	15
Q92688	5
Q9UIG0	2
Q9NRN7	2
P04350	1
O14578	1
P28715	1
Q9H9H4	1
P0CG47	16
P84077	1
Q9BZV1	1
P40261	2
Q9BTC8	5
Q9BW19	2
P61964	3
Q96A65	3
O95757	3
Q13616	7
O15318	1
P17096	3
P35221	3
Q9Y3A5	1
O95394	1
Q14814	2
P10599	18
P13646	1
P05388	10
Q13442	1
P40222	3
P53618	2
O43670	4
P00338	13
Q9NQT5	3
Q9BXS6	2
Q99986	1
TRY1_BOVIN	70
Q86VN1	1
Q15007	1
Q9UDY2	3
Q13867	1
P26639	4
P04083	4
Q08AF3	2
Q9UNZ5	1
A0AV96	1
Q8NB16	3
O95340	2
Q93009	9
Q13263	10
O43488	3
P62081	1
P63167	9
O94906	8
P26599	8
P17980	4
O60306	3
Q12904	2
Q6P6C2	2
O94979	3
P48730	1
P62258	16
P35998	8
O43172	8
P06454	2
O75533	4
Q8TBX8	3
NQO2_HUMAN	4
Q13042	8
Q9H981	4
Q8N1G4	4
Q9HB71	2
Q9C0B1	2
O60341	10
P0CG13	1
Q96GM8	3
NM_020810_8	4
Q15003	2
P55854	1
P41250	4
P29692	22
O75391	3
P19387	1
P10588	1
Q92979	2
Q9Y6V7	2
P07108	1
Q6UN15	3
P40938	9
Q15008	6
ANXA5_HUMAN	1
P36952	4
Q9Y5Q8	3
P33176	3
Q9BSJ8	3
Q13838	6
Q12962	1
P61247	4
P23284	2
Q8NC51	2
P13051	1
Q15527	2
P24928	1
O60524	1
P49588	6
Q9BRA2	4
P26038	18
O94822	1
O60814	1
Q9Y696	2
Q9P287	6
P17844	17
Q14331	1
O43684	18
Q9NY27	2
Q9NZZ3	1
Q01518	6
Q02878	2
Q5SRE5	1
P05109	1
P50579	2
Q9UMS4	11
Q9UKL0	1
P15880	8
Q9Y6I4	2
Q9BQ75	1
Q96L92	1
Q8N163	14
Q6P1N0	3
P25685	2
Q16763	1
P49756	23
Q9NVU0	1
Q5TDH0	1
P42226	1
P36871	1
Q9NV70	1
Q9NVI1	3
Q96HA7	2
P13693	1
Q96H20	1
O14556	3
Q5VTR2	6
Q92882	2
Q13303	3
Q9NWH9	1
P31949	1
P06748	15
P04075	16
P29083	7
P61024	6
Q562R1	3
O14602	2
P63172	1
P78347	10
NM_005678_1	7
Q16658	11
Q12857	2
O14950	1
Q09028	27
P04792	7
O15371	7
P63165	2
P51991	12
P30876	2
A6NKF1	1
P22090	3
P49720	4
Q9C0E2	2
Q8NEM2	6
P00558	8
Q96C86	1
P63313	1
Q9UPN3	2
Q9UKI8	1
Q8ND56	3
Q9NVM6	2
Q8N3U4	3
Q05397	1
O95926	1
Q13287	1
Q9Y617	5
P02533	3
ALBU_BOVIN	14
P63151	2
