protein	count
Q01844	1
O95365	4
P23284	9
O95833	1
CAS1_BOVIN	5
P11216	4
Q13310; Q5JQF8	1
Q15327	5
P36873	5
O43290	17
O43633	2
NM_001025204_1; Q01081; Q8WU68	10
P09651	83
Q9HCK8	21
Q13330; Q9BTC8	9
K1C10_HUMAN; K1C15_SHEEP; P13645	17
Q7LBC6	10
Q15436	20
Q9UBF2; Q9Y678	7
P22061	9
Q5TA45	2
P53041	1
P08107; P11021; P11142; P17066; P34931; P48741; P54652	28
O60506	33
Q15021	39
Q8IWZ8	1
Q1KMD3	6
Q99459	30
Q5TBB1	7
Q9BR76	12
O94915	2
P19367; P52789; P52790	1
P62854	2
P46783; Q9NQ39	1
O15347	12
P32519	8
Q9Y295	23
P08865	13
Q9UNX4	1
Q92922	100
Q7Z478	1
O95456	8
Q567U6; Q8NB25	1
Q99832	152
Q9BRF8	9
A8MV24	1
P18858	36
O00476	1
Q14004; Q9NYV4	1
Q96RF0	1
Q14814	10
P20839	1
Q9H0A9	1
Q12996	21
Q9Y6W3	9
Q14202	5
NM_005456_6; XM_001719157_2	1
Q9C0J8	3
Q69YN2	14
P06737	64
NM_173502_4	2
B2RXH8; B7ZW38; O60812; P07910; P0DMR1	38
P53992	22
P06733; P13929	9
Q86VN1	4
P49914	2
Q07157	8
P51812	2
Q9P2B2	1
Q99575	15
O15156	7
P62491; Q15907	36
NM_002367_2	1
P81605	1
Q9NY27	10
NM_173518_6	1
P11473	1
Q9H3U1	4
O95239; Q2VIQ3; Q96L93	1
P01891; P01892; P01893; P04222; P04439; P05534; P10314; P10316; P10321; P13746; P16188; P16189; P16190; P18462; P30443; P30447; P30450; P30453; P30455; P30456; P30457; P30459; P30499; P30501; P30504; P30505; P30508; P30510; P30512; Q07000; Q09160; Q29865; Q29960; Q29963; Q31612; Q95604; Q9TNN7	1
P62857	31
Q12857	4
P62253	1
P55072	134
P13646	1
P51003; Q9NRJ5	2
Q13618	4
NM_173698_4	1
O00273	10
O60678	3
NM_001130727_1; NM_145048_1	1
NM_014945_2	1
O15067	4
Q04941	1
O75368	1
Q15819	16
Q9NTJ3	82
P49356	1
P61960	1
Q09666	387
Q9UJW0	4
NM_021038_12; NM_207292_12; NM_207293_10; NM_207294_9; NM_207295_9; NM_207296_10; NM_207297_10	1
Q9H4L4	1
Q9BWJ5	9
P00338; P07195; P07864; Q6ZMR3	13
P33991	30
P21359	6
Q8WVJ2	18
P61204; P84077	1
Q8TCD5	4
B2RPK0; O15347; P09429; P26583	6
P08708; P0CW22	12
TRY1_BOVIN; TRYP_PIG	5
P35244	5
Q14191	2
